"Time","ue-layer-demap"
2026-01-27 15:26:54,0
2026-01-27 15:26:55,0
2026-01-27 15:26:56,0
2026-01-27 15:26:57,0
2026-01-27 15:26:58,0
2026-01-27 15:26:59,0
2026-01-27 15:27:00,0
2026-01-27 15:27:01,0
2026-01-27 15:27:02,0
2026-01-27 15:27:03,0
2026-01-27 15:27:04,0
2026-01-27 15:27:05,0
2026-01-27 15:27:06,0
2026-01-27 15:27:07,0
2026-01-27 15:27:08,0
2026-01-27 15:27:09,0
2026-01-27 15:27:10,0
2026-01-27 15:27:11,0
2026-01-27 15:27:12,0
2026-01-27 15:27:13,0
2026-01-27 15:27:14,0
2026-01-27 15:27:15,0
2026-01-27 15:27:16,0
2026-01-27 15:27:17,0
2026-01-27 15:27:18,0
2026-01-27 15:27:19,0
2026-01-27 15:27:20,0
2026-01-27 15:27:21,0
2026-01-27 15:27:22,0
2026-01-27 15:27:23,0
2026-01-27 15:27:24,0
2026-01-27 15:27:25,0
2026-01-27 15:27:26,0
2026-01-27 15:27:27,0
2026-01-27 15:27:28,0
2026-01-27 15:27:29,0
2026-01-27 15:27:30,0
2026-01-27 15:27:31,0
2026-01-27 15:27:32,0
2026-01-27 15:27:33,0
2026-01-27 15:27:34,0
2026-01-27 15:27:35,0
2026-01-27 15:27:36,0
2026-01-27 15:27:37,0
2026-01-27 15:27:38,0
2026-01-27 15:27:39,0
2026-01-27 15:27:40,0
2026-01-27 15:27:41,0
2026-01-27 15:27:42,0
2026-01-27 15:27:43,0
2026-01-27 15:27:44,0
2026-01-27 15:27:45,0
2026-01-27 15:27:46,0
2026-01-27 15:27:47,0
2026-01-27 15:27:48,0
2026-01-27 15:27:49,0
2026-01-27 15:27:50,0
2026-01-27 15:27:51,0
2026-01-27 15:27:52,0
2026-01-27 15:27:53,0
2026-01-27 15:28:04,6.31
2026-01-27 15:28:05,6.31
2026-01-27 15:28:06,6.31
2026-01-27 15:28:07,6.31
2026-01-27 15:28:08,6.31
2026-01-27 15:28:09,8.90
2026-01-27 15:28:10,8.90
2026-01-27 15:28:11,8.90
2026-01-27 15:28:12,8.90
2026-01-27 15:28:13,8.90
2026-01-27 15:28:14,9.83
2026-01-27 15:28:15,9.83
2026-01-27 15:28:16,9.83
2026-01-27 15:28:17,9.83
2026-01-27 15:28:18,9.83
2026-01-27 15:28:19,9.86
2026-01-27 15:28:20,9.86
2026-01-27 15:28:21,9.86
2026-01-27 15:28:22,9.86
2026-01-27 15:28:23,9.86
2026-01-27 15:28:24,11.5
2026-01-27 15:28:25,11.5
2026-01-27 15:28:26,11.5
2026-01-27 15:28:27,11.5
2026-01-27 15:28:28,11.5
2026-01-27 15:28:29,9.63
2026-01-27 15:28:30,9.63
2026-01-27 15:28:31,9.63
2026-01-27 15:28:32,9.63
2026-01-27 15:28:33,9.63
2026-01-27 15:28:34,9.19
2026-01-27 15:28:35,9.19
2026-01-27 15:28:36,9.19
2026-01-27 15:28:37,9.19
