"Time","coredns","etcd","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload","ue-ch-est","ue-ch-est-56967588d5-j4wds","ue-ch-mmse","ue-ch-mmse-86945f4b45-fqhfm","ue-check-crc","ue-check-crc-74c7fc4f64-zfrdr","ue-descrambling","ue-descrambling-c9454ff78-phz8p","ue-layer-demap","ue-layer-demap-7fd5c94944-jh5fm","ue-ldpc-dec","ue-ldpc-dec-57b6745967-s4pd4","ue-ofdm-demod","ue-ofdm-demod-6cf8d58bf7-hd4jd","ue-soft-demod","ue-soft-demod-5bf45b6d95-sgz6h"
1780040695000,0.019013223839120737,0.07605289535648295,0.019013223839120737,0.019013223839120737,0,0.1521057907129659,0.038026447678241475,0,0.019013223839120737,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040696000,0.019013223839120737,0.07605289535648295,0.019013223839120737,0.019013223839120737,0,0.1521057907129659,0.038026447678241475,0,0.019013223839120737,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040697000,0.019013223839120737,0.07605289535648295,0.019013223839120737,0.019013223839120737,0,0.1521057907129659,0.038026447678241475,0,0.019013223839120737,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040698000,0.019013223839120737,0.07605289535648295,0.019013223839120737,0.019013223839120737,0,0.1521057907129659,0.038026447678241475,0,0.019013223839120737,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040699000,0.019013223839120737,0.07605289535648295,0.019013223839120737,0.019013223839120737,0,0.1521057907129659,0.038026447678241475,0,0.019013223839120737,0,0,0,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040700000,0,0.06072708742298082,0,0.015181771855702055,0,0.12145417484561644,0.06072708742298082,0.01518177185571554,0.045545315567106164,0,0,0.03036354371140411,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040701000,0,0.06072708742298082,0,0.015181771855702055,0,0.12145417484561644,0.06072708742298082,0.01518177185571554,0.045545315567106164,0,0,0.03036354371140411,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040702000,0,0.06072708742298082,0,0.015181771855702055,0,0.12145417484561644,0.06072708742298082,0.01518177185571554,0.045545315567106164,0,0,0.03036354371140411,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040703000,0,0.06072708742298082,0,0.015181771855702055,0,0.12145417484561644,0.06072708742298082,0.01518177185571554,0.045545315567106164,0,0,0.03036354371140411,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1780040704000,0,0.06072708742298082,0,0.015181771855702055,0,0.12145417484561644,0.06072708742298082,0.01518177185571554,0.045545315567106164,0,0,0.03036354371140411,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
