"Time","coredns","etcd","gnb-crc","gnb-crc-5cc99f5f84-gljgk","gnb-layer-map","gnb-layer-map-cc7748bbb-bx8m2","gnb-ldpc","gnb-modulation","gnb-modulation-5588bd5dd6-7sb8d","gnb-ofdm-mod","gnb-precoding","gnb-precoding-75b79846c-nq9qx","gnb-scramble","gnb-scramble-64d657bcf5-pd75v","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload"
2026-06-09 20:36:52,0.0230,0.115,11.5,,11.5,,11.5,11.5,,11.5,11.5,,11.5,,0.0230,0.369,0,0.207,0.115,0,0.0691,0.0230,0,0.0230,0
2026-06-09 20:36:53,0.0230,0.115,11.5,,11.5,,11.5,11.5,,11.5,11.5,,11.5,,0.0230,0.369,0,0.207,0.115,0,0.0691,0.0230,0,0.0230,0
2026-06-09 20:36:54,0.0230,0.115,11.5,,11.5,,11.5,11.5,,11.5,11.5,,11.5,,0.0230,0.369,0,0.207,0.115,0,0.0691,0.0230,0,0.0230,0
2026-06-09 20:36:55,0.0230,0.115,11.5,,11.5,,11.5,11.5,,11.5,11.5,,11.5,,0.0230,0.369,0,0.207,0.115,0,0.0691,0.0230,0,0.0230,0
2026-06-09 20:36:56,0.0230,0.115,11.5,,11.5,,11.5,11.5,,11.5,11.5,,11.5,,0.0230,0.369,0,0.207,0.115,0,0.0691,0.0230,0,0.0230,0
2026-06-09 20:36:57,0.0210,0.126,10.5,,10.5,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.295,0,0.253,0.126,0.0210,0.0631,0,0,0.0631,0
2026-06-09 20:36:58,0.0210,0.126,10.5,,10.5,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.295,0,0.253,0.126,0.0210,0.0631,0,0,0.0631,0
2026-06-09 20:36:59,0.0210,0.126,10.5,,10.5,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.295,0,0.253,0.126,0.0210,0.0631,0,0,0.0631,0
2026-06-09 20:37:00,0.0210,0.126,10.5,,10.5,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.295,0,0.253,0.126,0.0210,0.0631,0,0,0.0631,0
2026-06-09 20:37:01,0.0210,0.126,10.5,,10.5,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.295,0,0.253,0.126,0.0210,0.0631,0,0,0.0631,0
2026-06-09 20:37:02,0,0.0908,11.4,,11.3,,11.4,11.4,,11.4,11.4,,11.4,,0.0227,0.341,0,0.204,0.0908,0,0.0908,0,0,0.0227,0
2026-06-09 20:37:03,0,0.0908,11.4,,11.3,,11.4,11.4,,11.4,11.4,,11.4,,0.0227,0.341,0,0.204,0.0908,0,0.0908,0,0,0.0227,0
2026-06-09 20:37:04,0,0.0908,11.4,,11.3,,11.4,11.4,,11.4,11.4,,11.4,,0.0227,0.341,0,0.204,0.0908,0,0.0908,0,0,0.0227,0
2026-06-09 20:37:05,0,0.0908,11.4,,11.3,,11.4,11.4,,11.4,11.4,,11.4,,0.0227,0.341,0,0.204,0.0908,0,0.0908,0,0,0.0227,0
2026-06-09 20:37:06,0,0.0908,11.4,,11.3,,11.4,11.4,,11.4,11.4,,11.4,,0.0227,0.341,0,0.204,0.0908,0,0.0908,0,0,0.0227,0
2026-06-09 20:37:07,0.0210,0.105,10.5,,10.4,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.336,0,0.210,0.189,0,0.0420,0,0,0.0210,0
2026-06-09 20:37:08,0.0210,0.105,10.5,,10.4,,10.5,10.5,,10.5,10.5,,10.5,,0.0210,0.336,0,0.210,0.189,0,0.0420,0,0,0.0210,0
