"Time","coredns","etcd","gnb-crc","gnb-crc-6d979b8745-bdqr8","gnb-layer-map","gnb-layer-map-84968c6ff5-h4mds","gnb-ldpc","gnb-modulation","gnb-ofdm-mod","gnb-precoding","gnb-precoding-7c4b7468d8-xfzxr","gnb-scramble","gnb-scramble-74ffbb6964-5z7ml","grafana","kepler","kindnet-cni","kube-apiserver","kube-controller-manager","kube-proxy","kube-scheduler","kube-state-metrics","local-path-provisioner","prometheus-server","prometheus-server-configmap-reload"
2026-05-28 17:54:50,0,0,,,,,,,,,,,,0,0,0,0.183,0,0,0,0,0,0.0610,0
2026-05-28 17:54:51,0,0,,,,,,,,,,,,0,0,0,0.183,0,0,0,0,0,0.0610,0
2026-05-28 17:54:52,0,0,,,,,,,,,,,,0,0,0,0.183,0,0,0,0,0,0.0610,0
2026-05-28 17:54:53,0,0,,,,,,,,,,,,0,0,0,0.183,0,0,0,0,0,0.0610,0
2026-05-28 17:54:54,0,0,,,,,,,,,,,,0,0,0,0.183,0,0,0,0,0,0.0610,0
2026-05-28 17:54:55,0.0346,0.0692,,,,,,,,,,,,0.0346,0,0,0.104,0.0346,0,0,0,0,0,0.0346
2026-05-28 17:54:56,0.0346,0.0692,,,,,,,,,,,,0.0346,0,0,0.104,0.0346,0,0,0,0,0,0.0346
2026-05-28 17:54:57,0.0346,0.0692,,,,,,,,,,,,0.0346,0,0,0.104,0.0346,0,0,0,0,0,0.0346
2026-05-28 17:54:58,0.0346,0.0692,,,,,,,,,,,,0.0346,0,0,0.104,0.0346,0,0,0,0,0,0.0346
2026-05-28 17:54:59,0.0346,0.0692,,,,,,,,,,,,0.0346,0,0,0.104,0.0346,0,0,0,0,0,0.0346
2026-05-28 17:55:00,0,0.0427,7.81,,7.81,,7.77,7.77,7.77,7.77,,7.81,,0,0.0427,0,0.171,0.0427,0,0.0427,0,0,0,0
2026-05-28 17:55:01,0,0.0427,7.81,,7.81,,7.77,7.77,7.77,7.77,,7.81,,0,0.0427,0,0.171,0.0427,0,0.0427,0,0,0,0
2026-05-28 17:55:02,0,0.0427,7.81,,7.81,,7.77,7.77,7.77,7.77,,7.81,,0,0.0427,0,0.171,0.0427,0,0.0427,0,0,0,0
2026-05-28 17:55:03,0,0.0427,7.81,,7.81,,7.77,7.77,7.77,7.77,,7.81,,0,0.0427,0,0.171,0.0427,0,0.0427,0,0,0,0
2026-05-28 17:55:04,0,0.0427,7.81,,7.81,,7.77,7.77,7.77,7.77,,7.81,,0,0.0427,0,0.171,0.0427,0,0.0427,0,0,0,0
2026-05-28 17:55:05,0.0514,0.103,9.31,,9.36,,9.31,9.31,9.31,9.31,,9.36,,0.0514,0.103,0,0.206,0,0,0.103,0.0514,0,0,0
2026-05-28 17:55:06,0.0514,0.103,9.31,,9.36,,9.31,9.31,9.31,9.31,,9.36,,0.0514,0.103,0,0.206,0,0,0.103,0.0514,0,0,0
2026-05-28 17:55:07,0.0514,0.103,9.31,,9.36,,9.31,9.31,9.31,9.31,,9.36,,0.0514,0.103,0,0.206,0,0,0.103,0.0514,0,0,0
2026-05-28 17:55:08,0.0514,0.103,9.31,,9.36,,9.31,9.31,9.31,9.31,,9.36,,0.0514,0.103,0,0.206,0,0,0.103,0.0514,0,0,0
2026-05-28 17:55:09,0.0514,0.103,9.31,,9.36,,9.31,9.31,9.31,9.31,,9.36,,0.0514,0.103,0,0.206,0,0,0.103,0.0514,0,0,0
2026-05-28 17:55:10,0,0.0587,10.6,,10.6,,10.6,10.6,10.6,10.6,,10.6,,0,0.0587,0,0.235,0.0587,0,0.0587,0,0,0.0587,0
2026-05-28 17:55:11,0,0.0587,10.6,,10.6,,10.6,10.6,10.6,10.6,,10.6,,0,0.0587,0,0.235,0.0587,0,0.0587,0,0,0.0587,0
2026-05-28 17:55:12,0,0.0587,10.6,,10.6,,10.6,10.6,10.6,10.6,,10.6,,0,0.0587,0,0.235,0.0587,0,0.0587,0,0,0.0587,0
2026-05-28 17:55:13,0,0.0587,10.6,,10.6,,10.6,10.6,10.6,10.6,,10.6,,0,0.0587,0,0.235,0.0587,0,0.0587,0,0,0.0587,0
2026-05-28 17:55:14,0,0.0587,10.6,,10.6,,10.6,10.6,10.6,10.6,,10.6,,0,0.0587,0,0.235,0.0587,0,0.0587,0,0,0.0587,0
2026-05-28 17:55:15,0,0.112,10.1,,10.1,,10.0,10.1,10.1,10.1,,10.0,,0,0,0,0.280,0.112,0,0.0560,0,0,0,0
2026-05-28 17:55:16,0,0.112,10.1,,10.1,,10.0,10.1,10.1,10.1,,10.0,,0,0,0,0.280,0.112,0,0.0560,0,0,0,0
2026-05-28 17:55:17,0,0.112,10.1,,10.1,,10.0,10.1,10.1,10.1,,10.0,,0,0,0,0.280,0.112,0,0.0560,0,0,0,0
2026-05-28 17:55:18,0,0.112,10.1,,10.1,,10.0,10.1,10.1,10.1,,10.0,,0,0,0,0.280,0.112,0,0.0560,0,0,0,0
2026-05-28 17:55:19,0,0.112,10.1,,10.1,,10.0,10.1,10.1,10.1,,10.0,,0,0,0,0.280,0.112,0,0.0560,0,0,0,0
2026-05-28 17:55:20,0,0.103,9.24,,9.24,,9.24,9.24,9.24,9.24,,9.24,,0.103,0.0516,0,0.207,0,0,0.0516,0,0,0,0
2026-05-28 17:55:21,0,0.103,9.24,,9.24,,9.24,9.24,9.24,9.24,,9.24,,0.103,0.0516,0,0.207,0,0,0.0516,0,0,0,0
2026-05-28 17:55:22,0,0.103,9.24,,9.24,,9.24,9.24,9.24,9.24,,9.24,,0.103,0.0516,0,0.207,0,0,0.0516,0,0,0,0
2026-05-28 17:55:23,0,0.103,9.24,,9.24,,9.24,9.24,9.24,9.24,,9.24,,0.103,0.0516,0,0.207,0,0,0.0516,0,0,0,0
2026-05-28 17:55:24,0,0.103,9.24,,9.24,,9.24,9.24,9.24,9.24,,9.24,,0.103,0.0516,0,0.207,0,0,0.0516,0,0,0,0
